Date,Type,Amount
01/01/2024,College Saving,-363.00
20/01/2024,College Saving,-200.00
08/02/2024,College Saving,1100.00
16/02/2024,College Saving,50.00
23/02/2024,College Saving,50.00
01/03/2024,College Saving,100.00
08/03/2024,College Saving,100.00
15/03/2024,College Saving,100.00
22/03/2024,College Saving,100.00
29/03/2024,College Saving,100.00
05/04/2024,College Saving,100.00
12/04/2024,College Saving,100.00
19/04/2024,College Saving,100.00
26/04/2024,College Saving,100.00
21/02/2024,Income,1528.81
06/03/2024,Income,1400.00
19/03/2024,Income,1050.00
29/03/2024,Income,962.50
19/04/2024,Income,1050.00
05/01/2024,Personal Loan,18.58
12/01/2024,Personal Loan,18.58
19/01/2024,Personal Loan,18.58
24/01/2024,Personal Loan,18.58
02/02/2024,Personal Loan,18.58
09/02/2024,Personal Loan,18.58
16/02/2024,Personal Loan,18.58
23/02/2024,Personal Loan,18.58
01/03/2024,Personal Loan,18.58
08/03/2024,Personal Loan,18.58
15/03/2024,Personal Loan,18.58
22/03/2024,Personal Loan,18.58
12/04.2024,Personal Loan,18.58
19/04/2024,Personal Loan,18.58
26/04/2024,Personal Loan,18.58
25/10/2023,College Loan,188.17 
27/11/2023,College Loan,188.17 
28/12/2023,College Loan,188.17 
25/01/2024,College Loan,188.17 
26/02/2024,College Loan,188.17 
25/03/2024,College Loan,188.17 
25/04/2024,College Loan,188.17 
21/02/2024,Tax,305.00 
06/03/2024,Tax,280.00 
19/03/2024,Tax,210.00 
29/03/2024,Tax,192.50 
19/04/2024,Tax,210.00 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
